Date,A,AAPL,ABBV,ABNB,ABT,ACGL,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,AON,AOS,APA,APD,APH,APO,APP,APTV,ARE,ARES,ATO,AVB,AVGO,AVY,AWK,AXON,AXP,AZO,BA,BAC,BALL,BAX,BBY,BDX,BEN,BF-B,BG,BIIB,BK,BKNG,BKR,BLDR,BLK,BMY,BR,BRK-B,BRO,BSX,BX,BXP,C,CAG,CAH,CARR,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CEG,CF,CFG,CHD,CHRW,CHTR,CI,CIEN,CINF,CL,CLX,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COIN,COO,COP,COR,COST,CPAY,CPB,CPRT,CPT,CRH,CRL,CRWD,CSCO,CSGP,CSX,CTAS,CTRA,CTSH,CTVA,CVNA,CVS,CVX,D,DAL,DASH,DD,DDOG,DE,DECK,DELL,DG,DHI,DHR,DLR,DLTR,DOC,DOV,DOW,DPZ,DRI,DTE,DUK,DVA,DVN,DXCM,EA,EBAY,ECL,ED,EFX,EG,EIX,EL,ELV,EME,EMR,EOG,EPAM,EQIX,EQR,EQT,ERIE,ES,ESS,ETN,ETR,EVRG,EW,EXC,EXE,EXPD,EXPE,EXR,F,FANG,FAST,FCX,FDS,FDX,FE,FFIV,FICO,FIS,FISV,FITB,FIX,FOX,FOXA,FRT,FSLR,FTNT,FTV,GD,GDDY,GE,GEHC,GEN,GEV,GILD,GIS,GL,GLW,GM,GNRC,GOOG,GOOGL,GPC,GPN,GRMN,GS,HAL,HAS,HBAN,HCA,HD,HIG,HII,HLT,HOLX,HON,HPE,HPQ,HRL,HSIC,HST,HSY,HUBB,HUM,HWM,IBM,IDXX,IEX,INCY,IR,IT,ITW,KO,LNT,MMM,MO,SCHW,STZ,T,TECH,XOM,XYZ
2021-03-09,2291100,129525800,6857500,6079900,5176100,2096500,2729200,3926400,5203400,2982100,2250000,2708400,2840900,2869000,6344100,3333700,5638400,677900,790300,2402900,1218900,933600,2272700,721900,12040800,1752740,45088300,1435600,3057300,856100,2988300,80600000,7324800,1478100,1385000,9781400,744400,4880200,5882900,,2701600,1265800,593600,920600,686500,37884000,637200,2495600,496000,5806100,194500,21001200,63946000,2690500,1976500,3294900,1588941,3536800,655800,1070900,1769100,6057800,481700,8403400,1428200,959700,12662500,467500,8259300,1321000,13646600,3981700,1441800,24194900,4258900,1839600,3643400,2902400,1784000,678500,1980500,2533600,42549100,2365100,849200,,2763200,6564500,1399800,988500,1022500,2325800,1295600,657700,7085400,1867100,26987844,2500200,26455000,875100,1752300,3573600,7772000,2564100,,1259600,10193200,1599100,5426800,554100,2127900,3960800,836700,2115800,229400,3865500,26512700,3862000,8565600,2133600,5339000,2767400,3973900,1523900,8697300,19010700,6027000,11710100,20400000,8880045,5666600,1456800,2072400,4318897,2761900,2770800,5334425,1728900,1822600,2957300,894600,5823200,1405000,1399700,802760,3228200,654000,11746000,3338000,2936700,8407000,1114500,3908500,641900,320600,6319000,2465200,1286500,237400,3371300,5738400,405400,765800,2493300,6442400,75800,1108800,520000,2805000,3680200,2632400,2293800,10012523,183400,1298300,3563800,646000,61568700,3557600,7146400,24411800,300700,2352000,5601500,717800,267800,3961800,5017900.0,8381000,391300,1608500,5377700,561600,3338600,7247500,6048068,1846200,2283200,22966413,,6189900,,8973300,3634800,507900,4267700,17902200,649400,33946000,33920000,1167300,1686800,835400,3324800,11555600,1167100,11249500,2979800,6625300,2615700,442500,2560500,1549000,2804541,14777900,10337000,2168000,1165200,5872500,953000,360564,1029300,5612300,5867014,643800,291600,1290300,2216300,700700,1341400,23082700,1713400,3399152,13064100,9761700,1553200,63488580,941600,35645900,14495500
2021-03-10,1934600,111943300,5762600,6145600,7640200,1533700,2046000,2747300,3137300,2403000,1968400,1420700,3511700,3518600,6912000,3172400,3822600,569100,609800,1565200,1937200,661300,3212200,636700,8820300,1196920,45416600,1565100,2309800,1166500,3080500,60250000,8716800,1186900,997300,9020800,806600,6342600,3861200,,1782300,917400,511700,881600,830400,19914000,596100,2165000,651400,3049800,260800,27753400,53365600,1282000,2089400,3175700,2752713,8451000,881000,1484600,1736400,5011900,443900,7699500,2008200,823300,10240200,356800,8939300,925900,7697000,3123800,830900,21331100,3682300,1840600,6976500,2435800,1799200,441300,1699600,1860900,41997600,2048300,684700,,2093200,8124800,1225800,800700,1472300,2282700,934300,529300,7028500,1418800,25176719,1990000,14490000,1017600,3051400,2628600,8416700,2068600,,944000,12002400,1880200,4523500,295700,6788100,4879600,582400,648600,231000,3506900,19841500,3743000,7677000,1819600,6434100,2636800,3388500,1176300,7402200,17389900,4858900,10719300,5398500,8403479,3745900,1403200,1710600,4408866,1832200,2850100,3706157,1811900,1403600,3165500,668900,4238500,1581900,1734000,650598,4227800,666800,16969700,4384400,1842300,7202600,765700,3268500,775800,206300,2590100,1663900,958400,400100,3057500,3712100,278300,1029700,1830900,7761500,63000,1163100,351600,2313700,5387600,2297700,2771800,10598279,484300,840000,3898900,821200,62111200,2816800,5249200,20367800,218200,1600600,3756500,440600,208500,4028900,3938200.0,6583100,278800,1154100,2707800,491900,2619300,10147500,2791875,1079900,1819000,44186284,,5145200,,7595500,6827700,418600,4538600,22760600,519600,25372000,27100000,538100,1706600,619600,3153100,8827100,661400,9295800,1447200,3798400,1483300,310400,1846700,3697800,4596783,10269100,11820400,1495700,1107300,7459400,1121100,368490,841000,4037500,7581199,484700,558400,1136500,1454000,402700,786400,21331600,1785400,2835357,9428200,8930500,1007600,57977033,982800,31579100,12973100
2021-03-11,1818700,103026500,4671400,6031200,4915700,1525700,2972000,2762200,4462100,2784200,1362400,2029300,3332500,3129900,4632800,3046600,4514600,495100,589900,2070800,1589700,668300,2330100,527700,7715500,1201360,43583700,1245300,2244000,993600,3737300,55528000,7632000,1480500,1036600,7357100,839100,7135200,5367900,,1407000,744000,688600,684300,1341300,26170000,698700,1755600,796400,3147700,228200,30139200,45834000,1712200,1637600,2407300,3233033,5372000,422700,1365800,1596300,3696800,512200,8986000,1608800,751600,10099500,412500,5917600,871600,6470600,4626100,1397800,17499200,2519100,2276100,5156100,2960000,2957700,371800,1585400,2568400,33297300,2582200,703100,,2637400,6119400,1150600,982900,1441500,1638600,2134200,578500,4842600,1036300,18662043,1823600,16370000,888800,2284300,2979600,5218700,2296100,,930000,9328100,1314200,4338900,802500,2222300,3311600,830300,583300,217700,3597800,21976600,3112000,11390700,2277200,4984400,3183400,2487700,1248700,5536100,10989500,3147400,11318600,3612400,7854974,3715300,1675700,2152800,7447286,2281500,4141000,2733482,1648800,1596800,4650500,729100,3651800,990600,1316600,860218,3565200,466400,13936600,2452800,2218100,5888000,790900,3595300,717300,192800,1442700,1554100,997800,296700,2660000,4167900,186800,731600,2377500,4892800,79100,1457900,366100,1844900,3147000,1315100,1996100,8443685,578900,948000,4796600,842000,56536500,2355000,4707400,25590500,246500,3794400,4867300,488800,237300,3615000,4352200.0,7668300,217600,972400,2913500,574400,2390100,8290000,4595799,1127600,2864100,61355743,,4414300,,9940600,4993000,340500,5959600,20244700,519400,24782000,27702000,723400,2419600,693400,2756600,9177800,927800,9002400,1409800,4371300,1613500,391400,1711000,2784800,3140242,11714400,10122500,1302800,1041100,9185900,959300,363581,928100,5601800,5383657,364700,310600,909900,1405000,388500,980900,17417700,1350600,2843251,8705100,9233600,845800,48327854,1274400,24802600,11728000
2021-03-12,1368700,88105100,5341200,5556500,3714000,1811000,1828600,2183100,3658500,2312700,1360500,926000,1597800,2637900,3393000,5478300,3069500,457100,472500,1503200,984800,428400,1698400,437700,7426000,824960,32938000,1075700,1752600,698500,2251900,48438000,8347200,1701400,913000,7688300,741500,4314000,3361800,,1477300,917500,443400,762300,1056500,18906000,373200,1029600,370800,2420100,210600,35264300,46069600,1392900,1462500,1962900,1566125,2917000,487000,1498000,1034300,4741500,404600,7763100,1660200,528700,8030000,428200,4495400,863100,5276300,3444400,1268400,17210600,2383600,2233200,2546200,4756500,1393600,487700,1127900,2381300,32490600,1760600,639900,,1698200,5954700,1379800,767200,1410200,1259600,1377400,522100,3141700,1352000,19599083,1706600,10495000,796700,1457200,2787300,6914100,2217400,,1045200,6758400,1067900,3182100,860500,2259600,2389200,692600,307200,157000,3033900,15196500,2967000,6711300,1658800,4799400,2447800,2176700,1335000,6286700,10930300,3476900,15891800,3255200,6691522,3006700,1941500,1233000,2858088,1885700,4333000,2581202,2864000,1102000,4961200,922300,2690800,683100,1133200,757758,3462300,679400,9798700,3696000,1327700,5025800,619000,2896500,570700,216800,1586900,1082500,1281300,264000,2440200,2958300,188100,718100,2740800,3715900,60300,1177700,625700,1759500,2180600,1185800,1865500,6687260,684300,665400,3543500,771200,87160100,2146300,6484400,19752500,342200,2137300,4095100,481900,165000,2566700,3340600.0,6929000,290700,1108200,3818800,632500,1784300,5900000,4686168,1004300,2110000,26996039,,2626400,,11561100,4302300,414500,7048400,29829600,386700,34516000,33818000,584300,1671500,499600,2436700,7245300,763600,13358800,1188500,4190500,1557200,335100,1588800,1593600,1951391,14179700,9478300,2035000,1050600,7674100,756700,186311,723200,3352300,4194565,361200,387600,815700,2124900,417600,952500,17598600,2502600,3219154,9314100,5643300,697800,92827229,1317200,20422700,8850100
2021-03-15,1230000,92403800,6642200,4329400,4651800,1301400,2295700,2508400,2113200,3116000,2792300,864900,1596500,3209500,4334700,2790100,2994000,374400,708500,1590700,704300,733600,2110100,1375100,7061200,1431800,39086800,1096700,2911000,972800,1849100,58272000,7700800,1789800,881100,6558100,721500,5026400,4817800,,1127200,846600,546600,749300,774200,31241000,420700,1296200,423600,2586300,171400,34816700,50131600,2071700,1482700,3346800,1432876,4138300,475300,861800,2829400,3676000,468800,5931300,2205400,526800,10949800,362500,6973400,802500,7045800,3717700,856000,18918100,2525700,1523100,3634300,4215300,1350500,377200,1561700,2622000,53480800,1240700,504500,,1926900,4590400,1763600,739600,1149400,1955200,1363500,740100,4860300,769300,15720218,1439400,9875000,937500,2261200,2588000,4398600,3208100,,1237200,9825200,659300,3243000,696600,1770300,2342800,757100,326600,211800,2524900,15523600,2512000,8145000,2106400,4999900,3003700,2993300,811700,7139500,10488000,3213800,19673700,2107900,6448220,3754300,2004400,1359600,5621472,2548300,2796400,2010886,2388700,1578200,5069300,737500,5353300,758300,1124400,1391318,4261000,412300,10401800,3287200,2181700,5860100,581800,3187400,503100,206700,1305800,1417400,1366300,226900,2675000,2602400,116600,587400,3464500,2891700,70500,1395300,476100,3192000,3277600,2042800,3764000,7007336,626800,1152500,2443500,1069600,64476000,2132400,8266000,18329100,240300,3211500,2960600,505800,186100,2232600,2758100.0,8084200,233700,943200,3770900,520100,1651900,5467000,3785798,1034500,2301900,22351422,,2569800,,8780200,4426300,254900,8360700,19660100,1101800,25962000,26168000,803000,1130100,519600,2276200,8136400,717500,11314500,1415200,4355200,3641000,438400,1773000,1639100,2717221,11627300,12813700,1261900,1089000,7607000,773400,285183,637900,2038400,3577948,317400,318800,830300,2007000,418700,1245500,13411900,3134100,3946800,12828100,6855700,581000,56121050,838400,31243600,8867200
2021-03-16,1345500,115227900,5570200,4605600,3870500,1609800,2185600,2618800,2324600,1549500,2017100,1041300,1439500,5104300,4547300,3025800,4247300,473300,819200,1548400,957600,482000,3758600,859800,10383000,1434240,42971600,610000,3386300,917800,1929700,50776000,6838400,2375600,833300,7563200,650200,5837200,2703300,,1593300,582400,499500,993800,741200,31190000,538800,1136600,411800,4031000,260100,28785800,50300400,2783300,1919600,2328200,1207058,4857300,4300,851300,1421600,3732700,360700,9156300,1481900,562200,10163000,387800,67200,643400,6172500,4418000,726100,15834800,3064700,1516900,5740800,3539200,969900,383400,1350200,2594500,51042700,1206000,524600,,2225500,5040700,1158500,688400,1147800,1549700,1166100,684800,4268600,973100,16166864,1247300,10600000,1292800,2876400,2343100,6174500,3221700,,978000,9399900,939500,3066700,583600,2174200,2921600,727900,387700,236100,6766400,17282300,2223000,9074100,1706000,3127900,2497500,2300400,1090900,5756300,11698400,4107700,14281500,2477500,10648884,2759700,2047000,1035600,5880329,2219300,3426100,4423903,1737300,1137300,3157600,897000,6461600,687700,1667400,990760,3140100,561100,9902600,3118400,2281000,5873600,640000,2775400,450600,184800,1159500,830200,1318900,174400,3362200,5399900,121400,289000,4730300,2741200,69100,955400,404900,2427100,3281800,1505100,2494600,7854845,717600,851000,3080800,625400,125425300,5632100,7298000,21242400,197700,2131100,4756800,535100,193700,2496900,2523600.0,6586800,208400,1527500,5094500,567000,1735300,9699500,2869107,1090000,2935900,14938641,,3290500,,7375800,3880900,264600,3591600,16177000,772500,29832000,31900000,571800,1279300,695300,2332600,11014000,690600,10590800,1606900,4458900,2795000,421700,1819400,1225200,2734940,10772400,10605200,1348900,880400,7410800,916400,221408,871700,3649100,4867247,318100,529200,789500,1398700,395200,1206000,14214200,1852500,2707744,10007200,5632400,661400,50311735,691600,30624800,7491600
2021-03-17,1453000,111932600,19445600,3781900,3797200,1550000,2626500,2502700,2852800,1666000,1982000,1092200,1335100,3034900,11942900,3373600,5361400,654400,1323200,1218400,1014400,779700,2179800,1109500,8342600,1102540,43320600,868300,3255500,939300,2265500,62372000,9905600,1922400,1305100,8201300,735800,4167200,3675600,,1741100,668800,950400,786100,876300,23754000,363200,1209300,327700,3278500,287800,23785500,63796000,2441000,3792700,2584400,1516189,3014100,7000,897100,1092900,4903800,394400,9413100,2475400,463600,9548100,600100,67700,1202100,6665600,2877100,708300,19337500,2477100,1797600,4066000,3518500,1179000,517100,1117600,2235100,30463300,1473900,715700,,1840100,6945800,1305800,696600,1202200,1772400,1428100,820500,3914900,1891100,20526199,1577500,11040000,768000,1934000,2675700,4349300,2840800,,1233200,9461700,796200,2672400,536900,2803900,4976800,851600,540200,221900,11955100,18326900,3764000,11624700,2318000,5989600,2415000,2711100,1142100,7926700,9168600,3756200,13694400,3286900,9352070,3117300,1753000,1294200,6162468,2964500,4342900,3333578,1782900,1703200,4673000,700300,5138900,646400,1554000,1124123,4138400,482200,11863700,4123200,2398600,6788400,1235600,4615300,559800,225400,1494800,1028900,1422100,242400,2364900,3816900,210800,470100,2773900,3121000,78400,996800,455400,2593900,2970800,1090100,2303800,7675389,543100,816700,5059400,824600,109324400,2594400,5791400,31499300,188800,1861400,3474400,436800,155100,2811800,2631100.0,7376500,155700,1432700,4359000,1116400,1947500,8151000,2400941,1197200,2073300,15895858,,5185400,,7853700,3536800,317400,4392400,23746200,1259000,25980000,26382000,619900,1365800,658800,2710900,11645300,1135500,9454300,1801800,5908400,2257000,287100,3831700,1783300,2896742,10421400,12590100,1443900,989400,7065800,995800,259989,921500,3269100,4488804,403700,691600,1240100,1286300,510800,1139400,17502700,1965800,3091780,11698300,6881500,807800,52881354,641200,25575500,10154000
2021-03-18,2067500,121229700,8675100,3711500,4253000,1910400,4089900,2931200,3853400,2366400,1622400,1355700,1360900,2349800,8796100,4201500,5577600,673900,1454400,1903500,1326800,1008600,3051400,678400,9040500,1487780,51036500,827200,3063100,1623900,2485200,72992000,8409600,1621400,1622300,9486700,742700,4778400,3342000,,1413800,549000,1088700,779200,641700,28728000,603800,1200400,341300,3173600,224100,24595500,95439700,2917500,2060100,2906500,1124006,2854000,882100,854400,885100,6300100,498000,9264800,1386000,640100,12145600,417100,5547300,1448500,8349700,2532000,973200,23857900,2274900,1606500,10045200,4336200,4640900,478500,1014300,1561500,46998200,1755400,766300,,1915300,9444200,1793500,844100,1550600,2015800,934000,1252000,3366700,2803700,20206526,1650800,12800000,984000,2170400,3528600,3531900,2443800,,1472400,12297200,891500,2736900,453300,1923200,5683600,977100,550100,210500,8799800,18416900,2743000,12426900,2008000,7096700,2890000,3180700,1606300,6860600,13246600,3115900,13410100,2983100,10617097,4341800,2753100,1237800,6201731,12324900,4208300,3927809,1174300,2586000,2807700,701700,4203500,583900,1989800,842005,3471800,520600,17018600,4789200,3482500,6547300,1388800,3839500,665300,209900,1928300,1381200,1570500,346300,2301500,4406400,313500,573800,2998100,5570100,78300,1671800,303400,2707400,2674400,3262400,2363300,8114355,886900,1013700,5432800,877100,76733300,3535700,6147400,25504200,271200,4536100,4233100,919800,293700,2309500,3224000.0,10517500,185400,1206700,3689600,659200,2214300,8142500,2356089,1288800,2062100,12792812,,3649300,,7442600,4229700,443200,7091500,34798000,1244400,27228000,31700000,714300,2106200,540800,3713000,11327100,713000,12408500,1566200,4808100,23914200,333800,2550000,1581700,4555828,13271100,11022700,1329600,1419100,4818400,673000,216018,1019700,4661500,6104142,490900,455900,1263600,2024600,631800,1038100,18007300,1964800,3648398,10439900,7417000,1026700,41438817,581600,38622800,12435000
2021-03-19,2597000,185549500,10899100,4444600,11275200,2757600,4460500,3923800,4624900,7885400,10171500,2320400,3001500,9525500,11160700,11172400,7285700,1450100,3122400,2516300,1670700,1012500,8756500,1024600,13044700,7318700,42283400,1226600,12589900,3287000,4789700,92508000,15070400,2655200,1940000,13697100,2431800,6542600,5285700,,3381300,1894500,1364600,1945800,1691600,108602000,1330600,2216400,857200,5098300,526300,17330800,106252700,4793900,3976500,9098400,3343074,8248800,2735100,1602500,2117900,14555300,637600,21924200,5608200,1452200,32082200,1158000,16635400,3497800,12334400,2712800,1356900,24079400,7733300,3672100,11066100,7485100,6915700,1526100,2416100,4115900,41506400,2593300,1663400,,4339600,16992700,3561500,2266600,2776800,5060200,1817200,4507200,11878800,2232600,36232226,4850200,18045000,2544400,6263000,5419400,9138800,3318700,,1904400,26925500,2448100,4859300,754100,3443800,10462000,1273700,820100,480100,7375800,65366800,4489000,32357400,2973600,9950700,5658300,9286600,1907000,10427000,18491000,9090700,12123600,2259400,12370640,4544200,3042100,3454800,7791772,6939600,4835700,5299457,2355000,2694800,5583400,1566500,6445800,898200,3096500,2551630,11280800,1230500,18103700,3724000,4191400,10317900,2001400,5562600,1048500,450800,6412500,4516800,2962400,803600,10934600,8384500,427100,668900,4741400,8042300,280900,4682900,673200,12545600,8450000,2500700,3507800,11841572,537100,2192700,3287300,2427300,90885200,9425400,31366400,33270600,603300,12938800,11060200,631300,414900,3778100,5051100.0,27628800,525300,2431100,6423400,1362300,2486600,9314000,4162136,2759100,1801200,13737991,,7444700,,15230300,8212200,985300,13059000,23346200,12919800,46298000,46072000,3229500,3603300,1279900,3513000,23241100,2762400,34951000,2674000,13729200,16201300,594900,2810800,2811800,10727559,20384800,49810500,3587600,1524900,11133300,1455300,646208,1923200,3535900,10297870,945900,712100,2610300,6270400,772500,6863100,67845700,5167200,7987964,37178900,10670300,1434400,97559734,1572800,84439400,10480800
2021-03-22,1772900,111912300,7627200,3740400,5173100,1448000,2295700,2944300,3321600,3035200,2151000,1863400,1727600,2854300,7979800,3829100,4907000,560500,1148200,1320200,740300,639600,2714100,719400,11318700,1531520,39648600,1456700,2059800,918000,1917700,58044000,9323200,2656300,1491700,6599900,1818700,4689000,5544700,,1795800,518600,1264400,1026800,709100,31805000,356700,1027300,422200,2274100,262700,15230000,54701300,4405700,3121400,2809600,1312014,3829900,985400,724600,1169000,6265600,531300,9762600,1639600,524700,16103400,415400,5370400,1244200,5845500,2750000,1371900,15040000,4057800,2037000,10396900,2211600,3351500,599000,1656400,2404200,33792000,1347900,639600,,1747400,6599400,1737200,1311200,1159600,1433500,842200,562100,8160500,1420200,19518631,1339800,11690000,1226800,2437100,2198400,4076800,2090400,,1420800,11003000,697500,4064900,398200,1921300,4753600,375900,618800,345200,5561000,28813900,2102000,20960100,1487200,4502900,4237300,3358900,1178900,6819600,12508500,3366300,10911100,1957900,7665447,3071400,1398500,2359800,6212385,5347100,2193900,3060715,1422300,2208800,2647200,687300,4631100,555400,2916200,1053153,4107800,532600,11954200,4216800,3153600,6583900,1842900,3343500,491500,242500,2134900,1563700,1448600,198100,2199000,2942000,212400,479700,1873400,3139800,95700,1644400,594100,2805100,2946800,1935800,2497100,7443218,539100,997600,3341400,615400,81362100,2663300,5880400,21113500,255300,3276400,3089100,644100,146000,2208600,2876400.0,7546200,166500,999700,3800900,657700,1711300,6915000,2614057,1041600,1296700,10591427,,3494900,,6769200,6493600,392200,5189000,30094900,1273400,39096000,33536000,891700,1956200,767500,2094500,11003900,811600,11065700,1232500,5564700,4737300,298100,2031200,1568400,3508197,8064600,14955000,2176000,823900,7964600,801700,226917,1163400,3971200,4356485,620400,515800,2270300,1880400,410600,886500,17911400,1697700,3115939,10365200,5138800,729000,41525936,445600,29315100,6386100
